Datum;Verbrauch
23.1.2023, 15:45;1,938
23.1.2023, 16:00;2,131
23.1.2023, 16:15;1,975
23.1.2023, 16:30;2,2
23.1.2023, 16:45;1,869
23.1.2023, 17:00;1,9
23.1.2023, 17:15;2,081
23.1.2023, 17:30;1,494
23.1.2023, 17:45;1,613
23.1.2023, 18:00;1,225
23.1.2023, 18:15;1,225
23.1.2023, 18:30;1,181
23.1.2023, 18:45;1,075
23.1.2023, 19:00;1,156
23.1.2023, 19:15;1,1
23.1.2023, 19:30;1,319
23.1.2023, 19:45;0,931
23.1.2023, 20:00;0,869
23.1.2023, 20:15;1,069
23.1.2023, 20:30;0,837
23.1.2023, 20:45;0,944
23.1.2023, 21:00;0,912
23.1.2023, 21:15;0,713
23.1.2023, 21:30;0,856
23.1.2023, 21:45;0,637
23.1.2023, 22:00;0,619
23.1.2023, 22:15;0,869
23.1.2023, 22:30;0,625
23.1.2023, 22:45;0,588
23.1.2023, 23:00;0,881
23.1.2023, 23:15;0,606
23.1.2023, 23:30;0,594
23.1.2023, 23:45;0,856
24.1.2023, 00:00;0,625
24.1.2023, 00:15;0,6
24.1.2023, 00:30;0,844
24.1.2023, 00:45;0,625
24.1.2023, 01:00;0,619
24.1.2023, 01:15;0,794
24.1.2023, 01:30;0,619
24.1.2023, 01:45;0,606
24.1.2023, 02:00;0,819
24.1.2023, 02:15;0,669
24.1.2023, 02:30;0,613
24.1.2023, 02:45;0,725
24.1.2023, 03:00;0,7
24.1.2023, 03:15;0,656
24.1.2023, 03:30;0,706
24.1.2023, 03:45;0,737
24.1.2023, 04:00;0,594
24.1.2023, 04:15;0,719
24.1.2023, 04:30;0,738
24.1.2023, 04:45;0,619
24.1.2023, 05:00;0,688
24.1.2023, 05:15;0,85
24.1.2023, 05:30;1,019
24.1.2023, 05:45;1,106
24.1.2023, 06:00;1,306
24.1.2023, 06:15;1,244
24.1.2023, 06:30;1,237
24.1.2023, 06:45;1,444
24.1.2023, 07:00;2,194
24.1.2023, 07:15;2,419
24.1.2023, 07:30;2,569
24.1.2023, 07:45;2,569
24.1.2023, 08:00;2,775
24.1.2023, 08:15;2,756
24.1.2023, 08:30;2,519
24.1.2023, 08:45;2,375
24.1.2023, 09:00;3,094
24.1.2023, 09:15;3,313
24.1.2023, 09:30;2,887
24.1.2023, 09:45;3,863
24.1.2023, 10:00;4,306
24.1.2023, 10:15;3,919
24.1.2023, 10:30;3,306
24.1.2023, 10:45;3,525
24.1.2023, 11:00;3,563
24.1.2023, 11:15;3,612
24.1.2023, 11:30;3,475
24.1.2023, 11:45;3,15
24.1.2023, 12:00;2,9
24.1.2023, 12:15;2,419
24.1.2023, 12:30;2,069
24.1.2023, 12:45;2,262
24.1.2023, 13:00;2,394
24.1.2023, 13:15;2,544
24.1.2023, 13:30;2,25
24.1.2023, 13:45;2,169
24.1.2023, 14:00;2,181
24.1.2023, 14:15;2,2
24.1.2023, 14:30;2,112
24.1.2023, 14:45;2,031
24.1.2023, 15:00;1,869
24.1.2023, 15:15;1,706
24.1.2023, 15:30;1,325
24.1.2023, 15:45;1,625
24.1.2023, 16:00;1,731
24.1.2023, 16:15;1,706
24.1.2023, 16:30;1,725
24.1.2023, 16:45;1,613
24.1.2023, 17:00;1,769
24.1.2023, 17:15;1,587
24.1.2023, 17:30;1,375
24.1.2023, 17:45;1,281
24.1.2023, 18:00;1,575
24.1.2023, 18:15;1,281
24.1.2023, 18:30;1,512
24.1.2023, 18:45;1,325
24.1.2023, 19:00;1,444
24.1.2023, 19:15;1,362
24.1.2023, 19:30;1,363
24.1.2023, 19:45;1,425
24.1.2023, 20:00;1,231
24.1.2023, 20:15;1,425
24.1.2023, 20:30;1,231
24.1.2023, 20:45;1,188
24.1.2023, 21:00;1,156
24.1.2023, 21:15;0,881
24.1.2023, 21:30;0,944
24.1.2023, 21:45;0,713
24.1.2023, 22:00;0,819
24.1.2023, 22:15;0,844
24.1.2023, 22:30;0,744
24.1.2023, 22:45;0,919
24.1.2023, 23:00;0,756
24.1.2023, 23:15;0,706
